id;description;title;device_id
8653;100;Морозильной камеры (л) :;1257
8654;Россия;Страна-производитель:;1257
8655;190x60x62.5;Габариты (ВxШxГ) (см):;1258
8656;металлик;Цвет:;1258
8657;345;Холодильника (л) :;1258
8658;245;Холодильной камеры (л) :;1258
8659;100;Морозильной камеры (л) :;1258
8660;Россия;Страна-производитель:;1258
8661;175x60x62.5;Габариты (ВxШxГ) (см):;1259
8662;бежевый;Цвет:;1259
8663;310;Холодильника (л) :;1259
8664;210;Холодильной камеры (л) :;1259
8665;100;Морозильной камеры (л) :;1259
8666;Россия;Страна-производитель:;1259
8667;190x60x62.5;Габариты (ВxШxГ) (см):;1260
8668;оранжевый;Цвет:;1260
8669;345;Холодильника (л) :;1260
8670;245;Холодильной камеры (л) :;1260
8671;100;Морозильной камеры (л) :;1260
8672;Россия;Страна-производитель:;1260
8673;180x60x62.5;Габариты (ВxШxГ) (см):;1261
8674;белый;Цвет:;1261
8675;320;Холодильника (л) :;1261
8676;240;Холодильной камеры (л) :;1261
8677;80;Морозильной камеры (л) :;1261
8678;Россия;Страна-производитель:;1261
8679;145x48x60.5;Габариты (ВxШxГ) (см):;1262
8680;белый;Цвет:;1262
8681;180;Холодильника (л) :;1262
8682;125;Холодильной камеры (л) :;1262
8683;55;Морозильной камеры (л) :;1262
8684;Россия;Страна-производитель:;1262
8685;164x48x60.5;Габариты (ВxШxГ) (см):;1263
8686;белый;Цвет:;1263
8687;205;Холодильника (л) :;1263
8688;125;Холодильной камеры (л) :;1263
8689;80;Морозильной камеры (л) :;1263
8690;Россия;Страна-производитель:;1263
8691;145x58x62;Габариты (ВxШxГ) (см):;1264
8692;белый;Цвет:;1264
8693;230;Холодильника (л) :;1264
8694;160;Холодильной камеры (л) :;1264
8695;70;Морозильной камеры (л) :;1264
8696;Россия;Страна-производитель:;1264
8697;158x48x60.5;Габариты (ВxШxГ) (см):;1265
8698;металлик;Цвет:;1265
8699;205;Холодильника (л) :;1265
8700;170;Холодильной камеры (л) :;1265
8701;35;Морозильной камеры (л) :;1265
8702;Россия;Страна-производитель:;1265
8703;145x48x60.5;Габариты (ВxШxГ) (см):;1266
8704;металлик;Цвет:;1266
8705;180;Холодильника (л) :;1266
8706;125;Холодильной камеры (л) :;1266
8707;55;Морозильной камеры (л) :;1266
8708;Россия;Страна-производитель:;1266
8709;145x60x62.5;Габариты (ВxШxГ) (см):;1267
8710;белый;Цвет:;1267
8711;250;Холодильника (л) :;1267
8712;190;Холодильной камеры (л) :;1267
